time,rms,temp
08:14:40,0.845,30.62
08:14:45,0.820,30.62
08:14:50,0.796,30.62
08:14:55,0.773,30.62
08:15:00,0.751,30.62
08:15:05,0.729,30.62
08:15:10,0.709,30.62
08:15:15,0.690,30.62
08:15:20,0.673,30.62
08:15:25,0.656,30.62
08:15:30,0.641,30.62
08:15:35,0.627,30.62
08:15:40,0.615,30.62
08:15:45,0.605,30.62
08:15:50,0.596,30.62
08:15:55,0.588,30.62
08:16:00,0.582,30.62
08:16:05,0.578,30.62
08:16:10,0.576,30.62
08:16:15,0.575,30.62
08:16:20,0.576,30.62
08:16:25,0.579,30.62
08:16:30,0.584,30.62
08:16:35,0.590,30.62
08:16:40,0.598,30.62
08:16:45,0.608,30.62
08:16:50,0.619,30.62
08:16:55,0.633,30.61
08:17:00,0.648,30.61
08:17:05,0.664,30.61
08:17:10,0.682,30.61
08:17:15,0.702,30.61
08:17:20,0.724,30.61
08:17:25,0.746,30.61
08:17:30,0.770,30.61
08:17:35,0.796,30.60
08:17:40,0.823,30.60
08:17:45,0.851,30.60
08:17:50,0.880,30.60
08:17:55,0.910,30.60
08:18:00,0.942,30.60
08:18:05,0.974,30.59
08:18:10,1.007,30.59
08:18:15,1.041,30.59
08:18:20,1.075,30.59
08:18:25,1.110,30.59
08:18:30,1.146,30.59
08:18:35,1.182,30.58
08:18:40,1.218,30.58
08:18:45,1.255,30.58
08:18:50,1.291,30.58
08:18:55,1.328,30.57
08:19:00,1.364,30.57
08:19:05,1.401,30.57
08:19:10,1.437,30.57
08:19:15,1.472,30.57
08:19:20,1.507,30.56
08:19:25,1.542,30.56
08:19:30,1.576,30.56
08:19:35,1.609,30.56
08:19:40,1.641,30.55
08:19:45,1.673,30.55
08:19:50,1.703,30.55
08:19:55,1.733,30.55
08:20:00,1.761,30.54
08:20:05,1.788,30.54
08:20:10,1.813,30.54
08:20:15,1.838,30.53
08:20:20,1.861,30.53
08:20:25,1.882,30.53
08:20:30,1.902,30.53
08:20:35,1.920,30.52
08:20:40,1.937,30.52
08:20:45,1.952,30.52
08:20:50,1.965,30.51
08:20:55,1.977,30.51
08:21:00,1.987,30.51
08:21:05,1.995,30.50
08:21:10,2.001,30.50
08:21:15,2.006,30.50
08:21:20,2.009,30.49
08:21:25,2.010,30.49
08:21:30,2.009,30.49
08:21:35,2.006,30.49
08:21:40,2.002,30.48
08:21:45,1.996,30.48
08:21:50,1.989,30.48
08:21:55,1.979,30.47
08:22:00,1.969,30.47
08:22:05,1.956,30.47
08:22:10,1.942,30.46
08:22:15,1.927,30.46
08:22:20,1.910,30.46
08:22:25,1.892,30.45
08:22:30,1.872,30.45
08:22:35,1.852,30.45
08:22:40,1.830,30.44
08:22:45,1.807,30.44
08:22:50,1.783,30.43
08:22:55,1.758,30.43
08:23:00,1.733,30.43
08:23:05,1.706,30.42
08:23:10,1.680,30.42
08:23:15,1.652,30.42
08:23:20,1.624,30.41
08:23:25,1.596,30.41
08:23:30,1.567,30.41
08:23:35,1.538,30.40
08:23:40,1.509,30.40
08:23:45,1.480,30.40
08:23:50,1.451,30.39
08:23:55,1.423,30.39
08:24:00,1.394,30.39
08:24:05,1.366,30.38
08:24:10,1.339,30.38
08:24:15,1.311,30.38
08:24:20,1.285,30.37
08:24:25,1.259,30.37
08:24:30,1.234,30.37
08:24:35,1.210,30.36
08:24:40,1.187,30.36
08:24:45,1.165,30.36
08:24:50,1.144,30.35
08:24:55,1.124,30.35
08:25:00,1.855,30.35
08:25:05,1.838,30.34
08:25:10,1.822,30.34
08:25:15,1.807,30.34
08:25:20,1.794,30.33
08:25:25,1.782,30.33
08:25:30,1.772,30.33
08:25:35,1.763,30.32
08:25:40,1.755,30.32
08:25:45,1.749,30.32
08:25:50,1.745,30.31
08:25:55,1.743,30.31
08:26:00,1.741,30.31
08:26:05,1.742,30.30
08:26:10,1.744,30.30
08:26:15,1.748,30.30
08:26:20,1.753,30.29
08:26:25,1.759,30.29
08:26:30,1.767,30.29
08:26:35,1.777,30.29
08:26:40,1.788,30.28
08:26:45,1.051,30.28
08:26:50,1.064,30.28
08:26:55,1.079,30.27
08:27:00,1.096,30.27
08:27:05,1.113,30.27
08:27:10,1.132,30.27
08:27:15,1.151,30.26
08:27:20,1.172,30.26
08:27:25,1.193,30.26
08:27:30,1.215,30.26
08:27:35,1.238,30.25
08:27:40,1.262,30.25
08:27:45,1.286,30.25
08:27:50,1.311,30.25
08:27:55,1.336,30.24
08:28:00,1.362,30.24
08:28:05,1.387,30.24
08:28:10,1.413,30.24
08:28:15,1.439,30.23
08:28:20,1.465,30.23
08:28:25,1.491,30.23
08:28:30,1.516,30.23
08:28:35,1.541,30.23
08:28:40,1.566,30.22
08:28:45,1.590,30.22
08:28:50,1.614,30.22
08:28:55,1.637,30.22
08:29:00,1.659,30.22
08:29:05,1.680,30.21
08:29:10,1.701,30.21
08:29:15,1.720,30.21
08:29:20,1.738,30.21
08:29:25,1.756,30.21
08:29:30,1.772,30.21
08:29:35,1.786,30.20
08:29:40,1.800,30.20
08:29:45,1.812,30.20
08:29:50,1.822,30.20
08:29:55,1.831,30.20
08:30:00,1.839,30.20
08:30:05,1.845,30.20
08:30:10,1.849,30.20
08:30:15,1.852,30.19
08:30:20,1.853,30.19
08:30:25,1.852,30.19
08:30:30,1.850,30.19
08:30:35,1.845,30.19
08:30:40,1.840,30.19
08:30:45,1.832,30.19
08:30:50,1.823,30.19
08:30:55,1.812,30.19
08:31:00,1.800,30.19
08:31:05,1.786,30.19
08:31:10,1.770,30.19
08:31:15,1.753,30.19
08:31:20,1.734,30.19
08:31:25,1.713,30.19
08:31:30,1.692,30.19
08:31:35,1.669,30.19
08:31:40,1.644,30.19
08:31:45,1.618,30.19
08:31:50,1.591,30.19
08:31:55,1.563,30.19
08:32:00,1.534,30.19
08:32:05,1.504,30.19
08:32:10,1.472,30.19
08:32:15,1.440,30.19
08:32:20,1.408,30.19
08:32:25,1.374,30.19
08:32:30,1.340,30.19
08:32:35,1.306,30.19
08:32:40,1.271,30.19
08:32:45,1.236,30.19
08:32:50,1.200,30.19
08:32:55,1.165,30.20
08:33:00,1.129,30.20
08:33:05,1.094,30.20
08:33:10,1.059,30.20
08:33:15,1.024,30.20
08:33:20,0.989,30.20
08:33:25,0.955,30.20
08:33:30,0.921,30.20
08:33:35,0.889,30.21
08:33:40,0.856,30.21
08:33:45,0.825,30.21
08:33:50,0.795,30.21
08:33:55,0.765,30.21
08:34:00,0.737,30.22
08:34:05,0.710,30.22
08:34:10,0.684,30.22
08:34:15,0.659,30.22
08:34:20,0.636,30.22
08:34:25,0.614,30.23
08:34:30,0.593,30.23
08:34:35,0.574,30.23
08:34:40,0.557,30.23
08:34:45,0.542,30.24
08:34:50,0.528,30.24
08:34:55,0.515,30.24
08:35:00,0.505,30.24
08:35:05,0.496,30.25
08:35:10,0.489,30.25
08:35:15,0.484,30.25
08:35:20,0.481,30.26
08:35:25,0.479,30.26
08:35:30,0.479,30.26
08:35:35,0.481,30.27
08:35:40,0.485,30.27
08:35:45,0.491,30.27
08:35:50,0.498,30.28
08:35:55,0.508,30.28
08:36:00,0.518,30.28
08:36:05,0.531,30.29
08:36:10,0.545,30.29
08:36:15,0.561,30.30
08:36:20,0.578,30.30
08:36:25,0.597,30.30
08:36:30,0.617,30.31
08:36:35,0.638,30.31
08:36:40,0.661,30.32
08:36:45,0.685,30.32
08:36:50,0.710,30.33
08:36:55,0.736,30.33
08:37:00,0.763,30.34
08:37:05,0.791,30.34
08:37:10,0.820,30.34
08:37:15,0.849,30.35
08:37:20,0.879,30.35
08:37:25,0.910,30.36
08:37:30,0.941,30.36
08:37:35,0.972,30.37
08:37:40,1.004,30.37
08:37:45,1.036,30.38
08:37:50,1.068,30.39
08:37:55,1.100,30.39
08:38:00,1.131,30.40
08:38:05,1.163,30.40
08:38:10,1.194,30.41
08:38:15,1.225,30.41
08:38:20,1.255,30.42
08:38:25,1.285,30.42
08:38:30,1.314,30.43
08:38:35,1.342,30.44
08:38:40,1.370,30.44
08:38:45,1.397,30.45
08:38:50,1.422,30.46
08:38:55,1.447,30.46
08:39:00,1.470,30.47
08:39:05,1.493,30.47
08:39:10,1.514,30.48
08:39:15,1.533,30.49
08:39:20,1.552,30.49
08:39:25,1.569,30.50
08:39:30,1.584,30.51
08:39:35,1.598,30.51
08:39:40,1.611,30.52
08:39:45,1.622,30.53
08:39:50,1.631,30.53
08:39:55,1.639,30.54
08:40:00,1.645,30.55
08:40:05,1.650,30.56
08:40:10,1.653,30.56
08:40:15,1.654,30.57
08:40:20,1.654,30.58
08:40:25,1.652,30.58
08:40:30,1.649,30.59
08:40:35,1.644,30.60
08:40:40,1.638,30.61
08:40:45,1.630,30.61
08:40:50,1.621,30.62
08:40:55,1.610,30.63
08:41:00,1.598,30.64
08:41:05,1.584,30.64
08:41:10,1.570,30.65
08:41:15,1.554,30.66
08:41:20,1.537,30.67
08:41:25,1.519,30.68
08:41:30,1.500,30.68
08:41:35,1.480,30.69
08:41:40,1.459,30.70
08:41:45,1.438,30.71
08:41:50,1.415,30.72
08:41:55,1.392,30.73
08:42:00,1.369,30.73
08:42:05,1.345,30.74
08:42:10,1.321,30.75
08:42:15,1.297,30.76
08:42:20,1.272,30.77
08:42:25,1.248,30.78
08:42:30,1.223,30.79
08:42:35,1.199,30.79
08:42:40,1.174,30.80
08:42:45,1.151,30.81
08:42:50,1.127,30.82
08:42:55,1.104,30.83
08:43:00,1.081,30.84
08:43:05,1.060,30.85
08:43:10,1.038,30.86
08:43:15,1.018,30.86
08:43:20,0.999,30.87
08:43:25,0.980,30.88
08:43:30,0.963,30.89
08:43:35,0.947,30.90
08:43:40,0.932,30.91
08:43:45,0.918,30.92
08:43:50,0.905,30.93
08:43:55,0.894,30.94
08:44:00,0.884,30.95
08:44:05,0.876,30.96
08:44:10,0.869,30.97
08:44:15,0.864,30.97
08:44:20,0.860,30.98
08:44:25,0.858,30.99
08:44:30,0.857,31.00
08:44:35,0.858,31.01
08:44:40,0.861,31.02
08:44:45,0.865,31.03
08:44:50,0.871,31.04
08:44:55,0.879,31.05
08:45:00,0.888,31.06
08:45:05,0.899,31.07
08:45:10,0.911,31.08
08:45:15,0.925,31.09
08:45:20,0.941,31.10
08:45:25,0.958,31.11
08:45:30,0.976,31.12
08:45:35,0.996,31.13
08:45:40,1.018,31.14
08:45:45,1.040,31.15
08:45:50,1.064,31.16
08:45:55,1.089,31.17
08:46:00,1.116,31.18
08:46:05,1.143,31.19
08:46:10,1.171,31.20
08:46:15,1.201,31.21
08:46:20,1.231,31.22
08:46:25,1.262,31.23
08:46:30,1.293,31.24
08:46:35,1.325,31.25
08:46:40,1.358,31.26
08:46:45,1.391,31.27
08:46:50,1.424,31.28
08:46:55,1.458,31.29
08:47:00,1.492,31.29
08:47:05,1.525,31.30
08:47:10,1.559,31.31
08:47:15,1.593,31.32
08:47:20,1.626,31.33
08:47:25,1.659,31.34
08:47:30,1.691,31.35
08:47:35,1.723,31.36
08:47:40,1.754,31.37
08:47:45,1.785,31.38
08:47:50,1.815,31.39
08:47:55,1.844,31.40
08:48:00,1.872,31.41
08:48:05,1.899,31.42
08:48:10,1.924,31.43
08:48:15,1.949,31.44
08:48:20,1.972,31.45
08:48:25,1.994,31.46
08:48:30,2.014,31.47
08:48:35,2.033,31.48
08:48:40,2.051,31.49
08:48:45,2.067,31.50
08:48:50,2.081,31.51
08:48:55,2.094,31.52
08:49:00,2.105,31.53
08:49:05,2.114,31.54
08:49:10,2.121,31.55
08:49:15,2.127,31.56
08:49:20,2.131,31.57
08:49:25,2.133,31.58
08:49:30,2.133,31.59
08:49:35,2.131,31.60
08:49:40,2.128,31.61
08:49:45,2.122,31.62
08:49:50,2.115,31.63
08:49:55,2.106,31.64
08:50:00,2.096,31.64
08:50:05,2.083,31.65
08:50:10,2.069,31.66
08:50:15,2.054,31.67
08:50:20,2.036,31.68
08:50:25,2.018,31.69
08:50:30,1.997,31.70
08:50:35,1.976,31.71
08:50:40,1.952,31.72
08:50:45,1.928,31.73
08:50:50,1.902,31.74
08:50:55,1.876,31.75
08:51:00,1.848,31.75
08:51:05,1.819,31.76
08:51:10,1.789,31.77
08:51:15,1.758,31.78
08:51:20,1.727,31.79
08:51:25,1.694,31.80
08:51:30,1.662,31.81
08:51:35,1.629,31.82
08:51:40,1.595,31.83
08:51:45,1.561,31.83
08:51:50,1.527,31.84
08:51:55,1.493,31.85
08:52:00,1.459,31.86
08:52:05,1.424,31.87
08:52:10,1.391,31.88
08:52:15,1.357,31.89
08:52:20,1.324,31.89
08:52:25,1.291,31.90
08:52:30,1.259,31.91
08:52:35,1.227,31.92
08:52:40,1.196,31.93
08:52:45,1.166,31.93
08:52:50,1.137,31.94
08:52:55,1.109,31.95
08:53:00,1.081,31.96
08:53:05,1.055,31.97
08:53:10,1.030,31.97
08:53:15,1.007,31.98
08:53:20,0.985,31.99
08:53:25,0.964,32.00
08:53:30,0.944,32.01
08:53:35,0.926,32.01
08:53:40,0.909,32.02
08:53:45,0.894,32.03
08:53:50,0.881,32.04
08:53:55,0.869,32.04
08:54:00,0.859,32.05
08:54:05,0.850,32.06
08:54:10,0.843,32.06
08:54:15,0.838,32.07
08:54:20,0.834,32.08
08:54:25,0.832,32.09
08:54:30,0.832,32.09
08:54:35,0.833,32.10
08:54:40,0.836,32.11
08:54:45,0.841,32.11
08:54:50,0.847,32.12
08:54:55,0.855,32.13
08:55:00,0.864,32.13
08:55:05,0.874,32.14
08:55:10,0.886,32.15
08:55:15,0.899,32.15
08:55:20,0.914,32.16
08:55:25,0.930,32.16
08:55:30,0.947,32.17
08:55:35,0.965,32.18
08:55:40,0.984,32.18
08:55:45,1.004,32.19
08:55:50,1.025,32.19
08:55:55,1.047,32.20
08:56:00,1.069,32.21
08:56:05,1.092,32.21
08:56:10,1.116,32.22
08:56:15,1.140,32.22
08:56:20,1.164,32.23
08:56:25,1.189,32.23
08:56:30,1.214,32.24
08:56:35,1.238,32.24
08:56:40,2.363,32.25
08:56:45,2.388,32.25
08:56:50,2.413,32.26
08:56:55,2.437,32.26
08:57:00,2.461,32.27
08:57:05,2.485,32.27
08:57:10,2.508,32.28
08:57:15,2.530,32.28
08:57:20,2.552,32.29
08:57:25,2.573,32.29
08:57:30,2.593,32.30
08:57:35,2.612,32.30
08:57:40,2.630,32.31
08:57:45,2.647,32.31
08:57:50,2.663,32.31
08:57:55,2.678,32.32
08:58:00,2.691,32.32
08:58:05,2.703,32.33
08:58:10,2.714,32.33
08:58:15,2.724,32.33
08:58:20,1.631,32.34
08:58:25,1.638,32.34
08:58:30,1.643,32.35
08:58:35,1.646,32.35
08:58:40,1.648,32.35
08:58:45,1.648,32.36
08:58:50,1.646,32.36
08:58:55,1.643,32.36
08:59:00,1.639,32.37
08:59:05,1.633,32.37
08:59:10,1.625,32.37
08:59:15,1.615,32.37
08:59:20,1.604,32.38
08:59:25,1.592,32.38
08:59:30,1.578,32.38
08:59:35,1.563,32.39
08:59:40,1.546,32.39
08:59:45,1.528,32.39
08:59:50,1.508,32.39
08:59:55,1.487,32.40
09:00:00,1.466,32.40
09:00:05,1.442,32.40
09:00:10,1.418,32.40
09:00:15,1.393,32.40
09:00:20,1.367,32.41
09:00:25,1.340,32.41
09:00:30,1.312,32.41
09:00:35,1.284,32.41
09:00:40,1.254,32.41
09:00:45,1.225,32.41
09:00:50,1.195,32.42
09:00:55,1.164,32.42
09:01:00,1.134,32.42
09:01:05,1.103,32.42
09:01:10,1.072,32.42
09:01:15,1.041,32.42
09:01:20,1.010,32.42
09:01:25,0.979,32.43
09:01:30,0.949,32.43
09:01:35,0.919,32.43
09:01:40,0.890,32.43
09:01:45,0.861,32.43
09:01:50,0.833,32.43
09:01:55,0.805,32.43
09:02:00,0.779,32.43
09:02:05,0.753,32.43
09:02:10,0.729,32.43
09:02:15,0.705,32.43
09:02:20,0.683,32.43
09:02:25,0.662,32.43
09:02:30,0.642,32.43
09:02:35,0.623,32.43
09:02:40,0.606,32.43
09:02:45,0.591,32.43
09:02:50,0.577,32.43
09:02:55,0.564,32.43
09:03:00,0.554,32.43
09:03:05,0.545,32.43
09:03:10,0.537,32.43
09:03:15,0.531,32.43
09:03:20,0.528,32.43
09:03:25,0.525,32.43
09:03:30,0.525,32.43
09:03:35,0.527,32.43
09:03:40,0.530,32.43
09:03:45,0.535,32.43
09:03:50,0.542,32.43
09:03:55,0.551,32.43
09:04:00,0.561,32.42
09:04:05,0.573,32.42
09:04:10,0.587,32.42
09:04:15,0.603,32.42
09:04:20,0.620,32.42
09:04:25,0.639,32.42
09:04:30,0.659,32.42
09:04:35,0.681,32.42
09:04:40,0.704,32.41
09:04:45,0.729,32.41
09:04:50,0.755,32.41
09:04:55,0.783,32.41
09:05:00,0.811,32.41
09:05:05,0.841,32.41
09:05:10,0.871,32.41
09:05:15,0.903,32.40
09:05:20,0.935,32.40
09:05:25,0.968,32.40
09:05:30,1.002,32.40
09:05:35,1.037,32.40
09:05:40,1.072,32.39
09:05:45,1.107,32.39
09:05:50,1.143,32.39
09:05:55,1.179,32.39
09:06:00,1.215,32.39
09:06:05,1.251,32.38
09:06:10,1.287,32.38
09:06:15,1.323,32.38
09:06:20,1.358,32.38
09:06:25,1.393,32.37
09:06:30,1.428,32.37
09:06:35,1.462,32.37
09:06:40,1.496,32.37
09:06:45,1.529,32.36
09:06:50,1.561,32.36
09:06:55,1.592,32.36
09:07:00,1.622,32.36
09:07:05,1.651,32.35
09:07:10,1.679,32.35
09:07:15,1.706,32.35
09:07:20,1.731,32.34
09:07:25,1.756,32.34
09:07:30,1.778,32.34
09:07:35,1.800,32.34
09:07:40,1.820,32.33
09:07:45,1.838,32.33
09:07:50,1.855,32.33
09:07:55,1.870,32.32
09:08:00,1.883,32.32
09:08:05,1.895,32.32
09:08:10,1.905,32.32
09:08:15,1.914,32.31
09:08:20,1.921,32.31
09:08:25,1.926,32.31
09:08:30,1.929,32.30
09:08:35,1.931,32.30
09:08:40,1.930,32.30
09:08:45,1.929,32.29
09:08:50,1.925,32.29
09:08:55,1.920,32.29
09:09:00,1.913,32.28
09:09:05,1.905,32.28
09:09:10,1.895,32.28
09:09:15,1.884,32.27
09:09:20,1.871,32.27
09:09:25,1.857,32.27
09:09:30,1.842,32.26
09:09:35,1.825,32.26
09:09:40,1.807,32.26
09:09:45,1.788,32.25
09:09:50,1.768,32.25
09:09:55,1.747,32.25
09:10:00,1.725,32.24
09:10:05,1.702,32.24
09:10:10,1.679,32.24
09:10:15,1.655,32.23
09:10:20,1.630,32.23
09:10:25,1.605,32.23
09:10:30,1.579,32.22
09:10:35,1.553,32.22
09:10:40,1.527,32.22
09:10:45,1.501,32.21
09:10:50,1.475,32.21
09:10:55,1.448,32.20
09:11:00,1.422,32.20
09:11:05,1.397,32.20
09:11:10,1.371,32.19
09:11:15,1.346,32.19
09:11:20,1.322,32.19
09:11:25,1.298,32.18
09:11:30,1.275,32.18
09:11:35,1.253,32.18
09:11:40,1.231,32.17
09:11:45,1.211,32.17
09:11:50,1.191,32.17
09:11:55,1.173,32.16
09:12:00,1.155,32.16
09:12:05,1.139,32.16
09:12:10,1.124,32.15
09:12:15,1.111,32.15
09:12:20,1.098,32.15
09:12:25,1.087,32.14
09:12:30,1.078,32.14
09:12:35,1.070,32.14
09:12:40,1.063,32.13
09:12:45,1.058,32.13
09:12:50,1.055,32.13
09:12:55,1.053,32.12
09:13:00,1.053,32.12
09:13:05,1.054,32.12
09:13:10,1.057,32.11
09:13:15,1.061,32.11
09:13:20,1.067,32.11
09:13:25,1.075,32.11
09:13:30,1.084,32.10
09:13:35,1.094,32.10
09:13:40,1.106,32.10
09:13:45,1.120,32.09
09:13:50,1.135,32.09
09:13:55,1.151,32.09
09:14:00,1.168,32.09
09:14:05,1.187,32.08
09:14:10,1.207,32.08
09:14:15,1.227,32.08
09:14:20,1.249,32.07
09:14:25,1.272,32.07
09:14:30,1.296,32.07
09:14:35,1.321,32.07
09:14:40,1.347,32.06
09:14:45,1.373,32.06
09:14:50,1.399,32.06
09:14:55,1.427,32.06
09:15:00,1.454,32.05
09:15:05,1.482,32.05
09:15:10,1.510,32.05
09:15:15,1.539,32.05
09:15:20,1.567,32.04
09:15:25,1.595,32.04
09:15:30,1.624,32.04
09:15:35,1.652,32.04
09:15:40,1.679,32.04
09:15:45,1.707,32.03
09:15:50,1.733,32.03
09:15:55,1.759,32.03
09:16:00,1.785,32.03
09:16:05,1.810,32.03
09:16:10,1.833,32.02
09:16:15,1.856,32.02
09:16:20,1.878,32.02
09:16:25,1.899,32.02
09:16:30,1.919,32.02
09:16:35,1.937,32.02
09:16:40,1.954,32.01
09:16:45,1.970,32.01
09:16:50,1.984,32.01
09:16:55,1.997,32.01
09:17:00,2.008,32.01
09:17:05,2.018,32.01
09:17:10,2.026,32.01
09:17:15,2.032,32.01
09:17:20,2.037,32.00
09:17:25,2.040,32.00
09:17:30,2.041,32.00
09:17:35,2.041,32.00
09:17:40,2.039,32.00
09:17:45,2.035,32.00
09:17:50,2.029,32.00
09:17:55,2.022,32.00
09:18:00,2.012,32.00
09:18:05,2.001,32.00
09:18:10,1.989,32.00
09:18:15,1.974,32.00
09:18:20,1.958,32.00
09:18:25,1.941,32.00
09:18:30,1.922,32.00
09:18:35,1.901,32.00
09:18:40,1.878,32.00
09:18:45,1.855,32.00
09:18:50,1.830,32.00
09:18:55,1.803,32.00
09:19:00,1.776,32.00
09:19:05,1.747,32.00
09:19:10,1.717,32.00
09:19:15,1.686,32.00
09:19:20,1.654,32.00
09:19:25,1.621,32.00
09:19:30,1.588,32.00
09:19:35,1.554,32.00
09:19:40,1.519,32.00
09:19:45,1.483,32.00
09:19:50,1.448,32.00
09:19:55,1.412,32.00
09:20:00,1.375,32.00
09:20:05,1.339,32.01
09:20:10,1.303,32.01
09:20:15,1.266,32.01
09:20:20,1.230,32.01
09:20:25,1.194,32.01
09:20:30,1.159,32.01
09:20:35,1.124,32.01
09:20:40,1.089,32.01
09:20:45,1.055,32.02
09:20:50,1.022,32.02
09:20:55,0.990,32.02
09:21:00,0.958,32.02
09:21:05,0.928,32.02
09:21:10,0.898,32.03
09:21:15,0.870,32.03
09:21:20,0.843,32.03
09:21:25,0.817,32.03
09:21:30,0.792,32.03
09:21:35,0.769,32.04
09:21:40,0.748,32.04
09:21:45,0.728,32.04
09:21:50,0.709,32.04
09:21:55,0.692,32.05
09:22:00,0.677,32.05
09:22:05,0.663,32.05
09:22:10,0.651,32.06
09:22:15,0.641,32.06
09:22:20,0.633,32.06
09:22:25,0.626,32.06
09:22:30,0.621,32.07
09:22:35,0.618,32.07
09:22:40,0.617,32.07
09:22:45,0.617,32.08
09:22:50,0.619,32.08
09:22:55,0.623,32.09
09:23:00,0.629,32.09
09:23:05,0.636,32.09
